run_id,event_count,event_types,source_log_sha256,projection_sha256,attempt_status,source_manifest_sha256
CB08-T08-B-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",e6b0c0647ff86c0777b84a5d5254aa161cff44db27875972888d63cbffac5115,c0b26dc5c13aa1ed10ff42446e09eedb26a83708cf68930a967f36524c55781e,scored,e2b753b7038a5965401126b1f2bee508d9ce80c5d00cd31f5e24a6972c0c2925
CB08-T08-C-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",ee57673a0bc06aaa0a96aef88d3a718cced0632afc9df8878b5e7a71b0653742,f2604c4c5d67ffc75225fae46015bbac8f3b3e66d0d495b69ed510b24aba0d6f,scored,a275caa43319e5066f4719f6a5c2acd6b92699b05dcd456faa18bd6d85aee3d0
CB08-T08-C-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",276c44d4adec3eccb8d6c39c97b714fafc600b4c5541761227e6c317014d5d00,17ccd9683018aa91596bbc5aba7c2821b183b793377d9194d08632c27d288224,scored,bb8b054015743fa4513741a3799f6c00afe579dc6a013594c410849d7068a675
CB08-T09-A-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",ee6e470550cb3d6211c385ae2fd5e033b3ea9c52ea1eca611c9470bcad8498cf,ea5a07517ee7a8e607a693db3a7fcb3b87cead1bd6b666f31282180b7dc17a57,scored,6fcaa05f187792243971468e5c3546b9f1402cc9ad0a5ea2260e8779f2f9e8a3
CB08-T09-A-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",5e1d6395d732ec9ed9bbf49fecc2379950851c84d962a2da109eafca52d83b08,9ef1cbe2ecee77fc5d89543720dbb3cbce84b4b601bcd0d717a9bd1f1a4ace8a,scored,ec8ba817c5047a035e796b0b2788b48e2fca22d40761ba7c5084b6f0ae31635f
CB08-T09-B-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",2775f40e5d881ffc3c9d93f612588c186d8e7fb1017801ae7f9a5370415a3125,4dc64a3c78c62f2743cfa44e1707f861ef84435131834b5be224463e5b31550b,scored,c398389494e05a7adc056acf66a7056663e6cb80d85713cfa6e16c51cd4aa2cc
CB08-T09-B-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",43153327f9ecc3aaf01128feb1f4d12bf40445cc2e2f35bc5cc8ed8a90a0de69,b150aa600c67145adefbc948115cc9b0d664800eaac3b2e82730fe529a5f5d5e,scored,a81e63662212284c71e701e29738eac525921c99e7295d0d066d06e4342af04c
CB08-T09-C-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",7db496925d24cda967b9a971c1c6a392f80378f4210d72332efb44aff838856a,58cd1c78e0f50fe66e97f9fd1af0763fd9f020d00582a803520bfc10b7cccb45,scored,3eb4c45279b8dbd166e97e34ff72ef0138c0b6e9a9a76fa12d6c17bb251ee820
CB08-T09-C-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",7c112543460a4fd4b211feef3b7588c8bfdb8ffa4bf6efcd560e41233050e39c,a914ec9efdf7b7bd24eddea5c9348eeb2f960a1d211696ee30cd2d9ca8dd504a,scored,20005bd2cc50b1867f06a5d66ef97394505a29523f610e6f1a1d09a34842fd61
CB08-T10-A-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",9d019dcf617570d84239de1e9d4450b10d13e4473b272468cf3f3af5f191fffe,e0a92252b366cbe19256b78d3d0bd9df27f701e757faa6d879052bae5b9d9f0c,scored,8ab8186d1f1458bff1a49d62a64fe096cb81296d728f1f713eed6d36f3926178
CB08-T10-A-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",a323f715694636f308322878b351d43e62626bd684bd6ec5397278603c0c2d2c,9037f982983ad4f5c6b6823a1ed9f9e650525c5d15530ea622f0d78ba9178238,scored,b8ee1c03037bfe9c0405955d754286e8305c3f68f7c564564203c6dff4f69df0
CB08-T10-B-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",e37d635ef5240cf87c34f497358ed6511ca6c3628e6196c01f2ed5a25a81076e,801e453d0abc2cf4476a4d1bfc63fe5c064bddfa85832e548104c581c5fef7f8,scored,555bc603ddc8ca04ff92e6d169346293ec957d93d4433896ddbfb3c0177577eb
CB08-T10-B-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",9e6c5978de846807a7d8e5a8fb71c2651eb6bc6d12af4f601d248c0d7c67f76e,f8217384bc846debb3579bcaf9e762e7dfafc8e01f7b28e4e74d692b06fc37bf,scored,8c0f9d8ed9d0352ddd32eb9e394f14e44f8e0c1365d76e4513d48ef8a2fc5d23
CB08-T10-C-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",125729cc5f10a783209b86c5a4fa097b0bff4a6ddbd63043030c3412371067a3,8e565d5f986a4a9d23cf3b03a89d5b69885f277c1b68615ff43b2df81f19d720,scored,a525bf1d58a020596396baa3a8cf4253461788460cc30da0c161fda64d9c8e94
CB08-T10-C-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",421aa9b827c184f15b5b8dd6782a87849d40605fdd23b7fbcb0a49a7a7842e88,f27802eaeddeb166d1565cddfc9842e770838d44aedd67db4b91420b11eb68c1,scored,89fa77ea0fbbd4d9933fe0c61f975d4c1257f55aabc635a8455c69123512314d
CB08-T11-A-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",91f473258a40aa6c457c85770d0cc21a122166900615ddfb2ef68c78f3c8668f,8a35c059042cb3569ea5ca00f0a5ae00ff4a0ca0cc104fd5eaaebd45d7cafb08,scored,0473b2767cd43c3c1b8eaa0c772301fe0d19a17ebe9b1474f0393c638338ccfe
